name,date,time,location,link,description
[N] Florida Gators Women’s Golf vs Gators Invitational,2025-03-08,8:30am,,https://calendar.ufl.edu/event/39708-florida-gators-womens-golf-vs-gators-invitat,
The Other Book: Black History in Alachua County - Jim Crow Era in Alachua County,2025-03-08,10:00am,,https://calendar.ufl.edu/event/41840-the-other-book-black-history-in-alachua-county-,
[W] Florida Gators Lacrosse vs Loyola University Maryland,2025-03-08,12:00pm,,https://calendar.ufl.edu/event/42038-florida-gators-lacrosse-vs-loyola-university,
[W] Florida Gators Baseball vs Harvard - Doubleheader / 7 innings,2025-03-08,1:30pm,,https://calendar.ufl.edu/event/41186-florida-gators-baseball-vs-harvard,
[N] Florida Gators Men’s Swimming & Diving at NCAA Diving Zones - Men’s 1-Meter,2025-03-09,,,https://calendar.ufl.edu/event/39978-florida-gators-mens-swimming-diving-at-ncaa,
[L] Florida Gators Women’s Tennis vs Texas A&M University,2025-03-09,11:00am,,https://calendar.ufl.edu/event/40123-florida-gators-womens-tennis-vs-texas-aampm,
[W] Florida Gators Softball at Texas A&M,2025-03-09,1:00pm,,https://calendar.ufl.edu/event/41123-florida-gators-softball-at-texas-aampm,
The Glory of Life,2025-03-09,7:00pm,,https://calendar.ufl.edu/event/44470-the-glory-of-life,
[N] Florida Gators Men’s Swimming & Diving at NCAA Diving Zones - Men’s 3-Meter,2025-03-10,,,https://calendar.ufl.edu/event/39977-florida-gators-mens-swimming-diving-at-ncaa,
[N] Florida Gators Women’s Swimming & Diving at NCAA Diving Zones - Women’s 1-Meter,2025-03-10,,,https://calendar.ufl.edu/event/40015-florida-gators-womens-swimming-diving-at-nca,
Linguistics Department Faculty Meeting,2025-03-10,3:00pm,,https://calendar.ufl.edu/event/43758-linguistics-department-faculty-meeting,
Why the Western canon?,2025-03-10,4:00pm,,https://calendar.ufl.edu/event/44652-why-the-western-canon,
[N] Florida Gators Men’s Swimming & Diving at NCAA Diving Zones - Men’s Platform,2025-03-11,,,https://calendar.ufl.edu/event/39976-florida-gators-mens-swimming-diving-at-ncaa,
[N] Florida Gators Women’s Swimming & Diving at NCAA Diving Zones - Women’s 3-Meter,2025-03-11,,,https://calendar.ufl.edu/event/40014-florida-gators-womens-swimming-diving-at-nca,
Gear Up with Lab Essentials (Vendor Show),2025-03-11,9:30am,,https://calendar.ufl.edu/event/43623-gear-up-with-lab-essentials-vendor-show,
Tour – Sea Turtle Hospital,2025-03-11,10:00am,,https://calendar.ufl.edu/event/36286-tour-sea-turtle-hospital,
[N] Florida Gators Women’s Swimming & Diving at NCAA Diving Zones - Women’s Platform,2025-03-12,,,https://calendar.ufl.edu/event/40013-florida-gators-womens-swimming-diving-at-nca,
American Association of Biological Anthropologists Meetings,2025-03-12,,,https://calendar.ufl.edu/event/44151-american-association-of-biological-anthropologists,
Florida Gators Men’s Basketball vs SEC Tournament,2025-03-12,,,https://calendar.ufl.edu/event/39817-florida-gators-mens-basketball-vs-sec-tourna,
Eye Opener Discovery Breakfast,2025-03-12,7:30am,,https://calendar.ufl.edu/event/44536-eye-opener-discovery-breakfast-,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-13,10:00am,,https://calendar.ufl.edu/event/36287-tour-sea-turtle-hospital-tour-full,
AI in Marketing: Breaking Down the Basics (Lunch & Learn),2025-03-13,12:00pm,,https://calendar.ufl.edu/event/44558-ai-in-marketing-breaking-down-the-basics-lunch-learn,
Fulbright Scholar Info session,2025-03-13,12:30pm,,https://calendar.ufl.edu/event/44808-fulbright-scholar-info-session,
Colloquium - Brittany Vanderhoof’s “Following the Data: How Chasing Curiosity Expanded My Universe”,2025-03-13,12:45pm,,https://calendar.ufl.edu/event/43392-colloquium-brittany-vanderhoofs-following-the-data-how,
"AI Image Generators, Self-Paced (CITT)",2025-03-14,,,https://calendar.ufl.edu/event/36118-ai-image-generators-self-paced-citt,
Florida Gators Track and Field vs NCAA Indoor Championships,2025-03-14,,,https://calendar.ufl.edu/event/41743-florida-gators-track-and-field-vs-ncaa-indoor,
CHEMBIO SPRING 2025 SEMINAR SERIES-NO SEMINAR SCHEDULED,2025-03-14,11:45am,,https://calendar.ufl.edu/event/44943-chembio-spring-2025-seminar-series-no-seminar-schedule,
CHEMBIO SPRING 2025 SEMINAR SERIES-NO SEMINAR SCHEDULED,2025-03-14,11:45am,,https://calendar.ufl.edu/event/44949-chembio-spring-2025-seminar-series-no-seminar,
Florida Gators Track and Field vs NCAA Indoor Championships,2025-03-15,,,https://calendar.ufl.edu/event/41742-florida-gators-track-and-field-vs-ncaa-indoor,
Right Whale End of Season Meeting,2025-03-15,,,https://calendar.ufl.edu/event/44748-right-whale-end-of-season-meeting,
[W] Florida Gators Men’s Tennis vs University of Arkansas,2025-03-15,12:00pm,,https://calendar.ufl.edu/event/43042-florida-gators-mens-tennis-vs-university-of,
Spring Concert and “State of Wonder” 2025,2025-03-15,1:00pm,,https://performingarts.ufl.edu/events/spring-concert-and-state-of-wonder-2025/,
[W] Florida Gators Women’s Tennis at University of Alabama,2025-03-16,12:00pm,,https://calendar.ufl.edu/event/40121-florida-gators-womens-tennis-at-university-o,
[L] Florida Gators Baseball at Tennessee,2025-03-16,1:00pm,,https://calendar.ufl.edu/event/41181-florida-gators-baseball-at-tennessee,
Fostering a Welcoming Community for Learning (CITT),2025-03-17,,,https://calendar.ufl.edu/event/42290-fostering-a-welcoming-community-for-learning-citt,
Microsoft Apps Consultation (Walk-In),2025-03-17,3:00pm,,https://calendar.ufl.edu/event/43237-microsoft-apps-consultation-walk-in,
[W] Florida Gators Softball vs Texas,2025-03-17,7:00pm,,https://calendar.ufl.edu/event/41120-florida-gators-softball-vs-texas,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-18,10:00am,,https://calendar.ufl.edu/event/24049-tour-sea-turtle-hospital-tour-full,
Mastering NaviGator Chat,2025-03-18,2:00pm,,https://calendar.ufl.edu/event/43226-mastering-navigator-chat,
[W] Florida Gators Baseball vs Jacksonville,2025-03-18,6:30pm,,https://calendar.ufl.edu/event/41180-florida-gators-baseball-vs-jacksonville,
The Property,2025-03-18,7:00pm,,https://calendar.ufl.edu/event/44481-the-property,
Land Use and Zoning 101: Key Insights for Buying or Leasing Business Space (Lunch & Learn),2025-03-19,12:00pm,,https://calendar.ufl.edu/event/43840-land-use-and-zoning-101-key-insights-for-buying-or-lea,
[W] Florida Gators Softball at Jacksonville,2025-03-19,6:00pm,,https://calendar.ufl.edu/event/41118-florida-gators-softball-at-jacksonville,
[W] Florida Gators Baseball vs Florida A&M - Presented by Florida Strawberries,2025-03-19,6:30pm,,https://calendar.ufl.edu/event/44571-postponed-florida-gators-baseball-vs-florida-aampm,
[I] Florida Gators Women’s Swimming & Diving vs NCAA Swimming & Diving Championships - 200 Medley Relay & 800 Free Relay,2025-03-19,9:00pm,,https://calendar.ufl.edu/event/40012-florida-gators-womens-swimming-diving-at-nca,
"[I] Florida Gators Women’s Swimming & Diving vs NCAA Swimming & Diving Championships - 500 Free, 200 IM, 50 Free, 200 Free Relay, 1-Meter Diving",2025-03-20,,,https://calendar.ufl.edu/event/40011-florida-gators-womens-swimming-diving-at-nca,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-20,10:00am,,https://calendar.ufl.edu/event/24387-tour-sea-turtle-hospital-tour-full,
[W] Florida Gators Lacrosse at Clemson University,2025-03-20,12:00pm,,https://calendar.ufl.edu/event/42035-florida-gators-lacrosse-at-clemson-university,
[W] Florida Gators Women’s Tennis vs Morgan State University,2025-03-20,5:00pm,,https://calendar.ufl.edu/event/45144-florida-gators-womens-tennis-vs-morgan-state,
"Florida Gators Women’s Swimming & Diving vs NCAA Swimming & Diving Championships - 400 IM, 100 Fly, 200 Free, 100 Breast, 100 Back, 400 Medley Relay, 3-Meter Diving",2025-03-21,,,https://calendar.ufl.edu/event/40010-florida-gators-womens-swimming-diving-at-nca,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-21,10:00am,,https://calendar.ufl.edu/event/24522-tour-sea-turtle-hospital-tour-full,
[N] Florida Gators Men’s Golf at Schenkel Invitational,2025-03-21,10:30am,,https://calendar.ufl.edu/event/39602-florida-gators-mens-golf-vs-schenkel-invitat,
CHEMBIO SPRING 2025 SEMINAR SERIES-NO SEMINAR-SPRING BREAK,2025-03-21,11:45am,,https://calendar.ufl.edu/event/44945-chembio-spring-2025-seminar-series-no-seminar-spring-b,
Florida Gators Gymnastics vs SEC Championships,2025-03-22,,,https://calendar.ufl.edu/event/41761-florida-gators-gymnastics-vs-sec-championships,
"Florida Gators Women’s Swimming & Diving vs NCAA Swimming & Diving Championships - 1,650 Free, 200 Back, 100 Free, 200 Breast, 200 Fly, 400 Free Relay, Platform Diving",2025-03-22,,,https://calendar.ufl.edu/event/40009-florida-gators-womens-swimming-diving-at-nca,
Florida Gators Men’s Golf at Schenkel Invitational,2025-03-22,10:30am,,https://calendar.ufl.edu/event/39601-florida-gators-mens-golf-vs-schenkel-invitat,
Florida Gators Baseball vs Georgia,2025-03-22,12:00pm,,https://calendar.ufl.edu/event/41178-florida-gators-baseball-vs-georgia,
Florida Gators Men’s Golf at Schenkel Invitational,2025-03-23,,,https://calendar.ufl.edu/event/39600-florida-gators-mens-golf-vs-schenkel-invitat,
Florida Gators Women’s Tennis vs Vanderbilt University,2025-03-23,12:00pm,,https://calendar.ufl.edu/event/40119-florida-gators-womens-tennis-vs-vanderbilt,
Florida Gators Baseball vs Georgia - Presented by GFL,2025-03-23,1:00pm,,https://calendar.ufl.edu/event/41177-florida-gators-baseball-vs-georgia,
Florida Gators Men’s Tennis at Vanderbilt University,2025-03-23,1:00pm,,https://calendar.ufl.edu/event/43040-florida-gators-mens-tennis-at-vanderbilt,
Technology to Improve Instructor Presence (CITT),2025-03-24,,,https://calendar.ufl.edu/event/38320-technology-to-improve-instructor-presence-citt,
UF Gulf Scholars Cohort Meeting: Rebuilding a Future on Apalachicola Bay,2025-03-24,3:00pm,,https://calendar.ufl.edu/event/44791-uf-gulf-scholars-cohort-meeting-rebuilding-a,
Linguistics Department Faculty Meeting,2025-03-24,3:00pm,,https://calendar.ufl.edu/event/43759-linguistics-department-faculty-meeting,
CURBS Workshop: Symposium 101,2025-03-24,5:00pm,,https://calendar.ufl.edu/event/44309-curbs-workshop-symposium-101,
Society for Applied Anthropology Meetings,2025-03-25,,,https://calendar.ufl.edu/event/44152-society-for-applied-anthropology-meetings,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-25,10:00am,,https://calendar.ufl.edu/event/24043-tour-sea-turtle-hospital-tour-full,
Slavic Myths Speaker Series: Afterlife and the Cult of the Dead in Slavic Pre-Christian Religion,2025-03-25,12:00pm,,https://calendar.ufl.edu/event/44573-slavic-myths-speaker-series-afterlife-and-the-cult,
Leveling Up with NaviGator Chat & Copilot,2025-03-25,2:00pm,,https://calendar.ufl.edu/event/43371-leveling-up-with-navigator-chat-copilot,
Florida Gators Men’s Swimming & Diving vs NCAA Swimming & Diving Championships,2025-03-26,,,https://calendar.ufl.edu/event/39974-florida-gators-mens-swimming-diving-vs-ncaa,
Coffee & Conversation with HEB,2025-03-26,10:00am,,https://calendar.ufl.edu/event/44458-coffee-conversation-with-heb,
Gator Market at the Reitz Union,2025-03-26,10:00am,,https://calendar.ufl.edu/event/43917-gator-market-at-the-reitz-union,
Teams Mini-Series: File Management,2025-03-26,11:30am,,https://calendar.ufl.edu/event/42838-teams-mini-series-file-management,
Florida Gators Men’s Swimming & Diving vs NCAA Swimming & Diving Championships,2025-03-27,,,https://calendar.ufl.edu/event/39973-florida-gators-mens-swimming-diving-vs-ncaa,
Florida Gators Track and Field vs FSU Relays,2025-03-27,,,https://calendar.ufl.edu/event/41741-florida-gators-track-and-field-vs-fsu-relays,
Knowledge Production and African Intellectual Histories,2025-03-27,,,https://calendar.ufl.edu/event/44312-knowledge-production-and-african-intellectual,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-27,10:00am,,https://calendar.ufl.edu/event/24046-tour-sea-turtle-hospital-tour-full,
Florida Gators Men’s Swimming & Diving vs NCAA Swimming & Diving Championships,2025-03-28,,,https://calendar.ufl.edu/event/39972-florida-gators-mens-swimming-diving-vs-ncaa,
Florida Gators Track and Field vs FSU Relays,2025-03-28,,,https://calendar.ufl.edu/event/41740-florida-gators-track-and-field-vs-fsu-relays,
Florida Gators Women’s Golf at Chattanooga Invitational,2025-03-28,,,https://calendar.ufl.edu/event/39706-florida-gators-womens-golf-at-chattanooga,
UF Japan Spring Festival,2025-03-28,,,https://calendar.ufl.edu/event/44890-uf-japan-spring-festival,
Florida Gators Men’s Swimming & Diving vs NCAA Swimming & Diving Championships,2025-03-29,,,https://calendar.ufl.edu/event/39971-florida-gators-mens-swimming-diving-vs-ncaa,
Florida Gators Women’s Golf at Chattanooga Invitational,2025-03-29,,,https://calendar.ufl.edu/event/39705-florida-gators-womens-golf-at-chattanooga,
UF Health Stroke Conference 2025,2025-03-29,8:00am,,https://calendar.ufl.edu/event/43935-uf-health-stroke-conference-2025,
EHGSA Spring Plant Sale,2025-03-29,9:00am,,https://calendar.ufl.edu/event/44645-ehgsa-spring-plant-sale,
Florida Gators Women’s Golf at Chattanooga Invitational,2025-03-30,,,https://calendar.ufl.edu/event/39704-florida-gators-womens-golf-at-chattanooga,
EHGSA Spring Plant Sale,2025-03-30,9:00am,,https://calendar.ufl.edu/event/44789-ehgsa-spring-plant-sale,
Florida Gators Softball at Auburn,2025-03-30,12:00pm,,https://calendar.ufl.edu/event/41114-florida-gators-softball-at-auburn,
Florida Gators Women’s Tennis at University of Oklahoma,2025-03-30,2:00pm,,https://calendar.ufl.edu/event/40117-florida-gators-womens-tennis-at-university-o,
Organic Chemistry Division Tarrant Visiting Professor,2025-03-31,12:00pm,,https://calendar.ufl.edu/event/44035-organic-chemistry-division-tarrant-visiting,
Organic Chemistry Division Tarrant Visiting Professor,2025-03-31,12:00pm,,https://calendar.ufl.edu/event/44412-organic-chemistry-division-tarrant-visiting,
Managing Fulbright Recruitment & Retention,2025-03-31,12:30pm,,https://calendar.ufl.edu/event/44810-managing-fulbright-recruitment-retention,
Colloquium - Francisco Castander’s “Simulating the Euclid mission”,2025-03-31,12:45pm,,https://calendar.ufl.edu/event/44895-colloquium-francisco-castanders-simulating-the-euclid-,
[L] Florida Gators Lacrosse vs James Madison University,2025-03-01,11:00am,,https://calendar.ufl.edu/event/42039-florida-gators-lacrosse-vs-james-madison,
[W] Florida Gators Softball vs Troy,2025-03-01,11:30am,,https://calendar.ufl.edu/event/43212-florida-gators-softball-vs-troy,
[W] Florida Gators Softball vs Western Michigan,2025-03-01,2:00pm,,https://calendar.ufl.edu/event/43211-florida-gators-softball-vs-western-michigan,
APA Watch Party: Unshrinking: How to Face Fatphobia,2025-03-01,3:00pm,,https://calendar.ufl.edu/event/44455-apa-watch-party-unshrinking-how-to-face-fatphobia,"The second of two Watch Parties hosted by the Philosophy Department will be a live-streamed book symposium from the American Philosophical Association, with discussion of Kate Manne’s Unshrinking: How to Face Fatphobia. Enjoy pizza, drinks, and philosophical conversation—no prior reading required!"
[W] Florida Gators Baseball vs Miami - Presented by Florida Farm Bureau,2025-03-01,4:30pm,,https://calendar.ufl.edu/event/41191-florida-gators-baseball-vs-miami,
Della Mae,2025-03-01,7:00pm,,https://performingarts.ufl.edu/events/della-mae/,"You will get wrapped up in Della Mae’s foot-stomping performance. Long regarded as a powerful live band in bluegrass and Americana, Della Mae is a GRAMMY®-nominated, all-women string band reared in diverse musical styles.



  UpStage is an intimate, cabaret-style setting on the Phillips Center Mainstage. The 7:00 p.m. seating includes heavy hors d’oeuvres and cash bar; the 9:00 p.m. seating includes desserts and cash bar."
Florida Gators Men’s Basketball vs Texas A&M - presented by VyStar Credit Union,2025-03-01,8:30pm,,https://calendar.ufl.edu/event/39852-florida-gators-mens-basketball-vs-texas-aamp,
More events on 2025-03-01,2025-03-01,,,https://calendar.ufl.edu/#!view/day/date/20250301,Link to more events on this day
[L] Florida Gators Women’s Basketball at University of Texas,2025-03-02,2:00pm,,https://calendar.ufl.edu/event/39938-florida-gators-womens-basketball-at-universi,
[W] Florida Gators Softball vs FAMU,2025-03-02,2:00pm,,https://calendar.ufl.edu/event/43210-florida-gators-softball-vs-famu,
The Goldman Case,2025-03-02,7:00pm,,https://calendar.ufl.edu/event/44473-the-goldman-case,"Presented as part of the 14th Annual Gainesville Jewish Film Festival
  One of France’s most celebrated legal cases. A Jewish revolutionary is put on trial accused of two murders. The courtroom drama is electrifying brilliantly recreating the political divide of 1970s-era France and very much still relevant today."
More events on 2025-03-02,2025-03-02,,,https://calendar.ufl.edu/#!view/day/date/20250302,Link to more events on this day
Joshua Gibson – Inorganic Seminar,2025-03-03,4:05pm,,https://calendar.ufl.edu/event/43325-joshua-gibson-inorganic-seminar,
Joshua Gibson – Inorganic Seminar,2025-03-03,4:05pm,,https://calendar.ufl.edu/event/44404-joshua-gibson-inorganic-seminar,
CJCxDC Information Session,2025-03-03,6:30pm,,https://calendar.ufl.edu/event/44685-cjcxdc-information-session,"Join us online to learn more about CJC’s new Washington, D.C., immersion opportunity, launching this fall."
Soda,2025-03-03,7:00pm,,https://calendar.ufl.edu/event/44474-soda,"Presented as part of the 14th Annual Gainesville Jewish Film Festival
  Based on a true story. In 1956, a seamstress arrives in a Holocaust survivor community. Rumors surface about her past as a Kapo in Auschwitz. Shalom, a resistance fighter, is torn between love and his duty to expose her history. Community tensions rise over her true identity."
More events on 2025-03-03,2025-03-03,,,https://calendar.ufl.edu/#!view/day/date/20250303,Link to more events on this day
[N] Florida Gators Men’s Golf at Southern Highlands Collegiate,2025-03-04,12:30pm,,https://calendar.ufl.edu/event/39603-florida-gators-mens-golf-vs-southern-highlan,
Colloquium - Anowar Shajib’s “TBD”,2025-03-04,12:45pm,,https://calendar.ufl.edu/event/44360-colloquium-anowar-shajibs-tbd,"Anowar Shajib
  
  Tuesday March 4, 2025 @ 12:45 PM - 1:45 PM
  217 Bryant Space Science Center"
Co-Authoring Course Materials with AI,2025-03-04,1:00pm,,https://calendar.ufl.edu/event/44655-co-authoring-course-materials-with-ai,"Students need high-quality course materials. Commercial publishers can be expensive while creating course materials yourself can be too time consuming. In this workshop, Ryan Rushing, Textbook Affordability Coordinator of the Center for Teaching Excellence, and Cooper Greenfield, Education and Training Specialist of the Center for Instructional Technology and Training will help educators leverage artificial intelligence in the creation of course materials. We will explore the use of NaviGator as a tool for producing affordable and free content for your students to maximize learning success.
  
  Registration: https://forms.office.com/r/DtWxMdu99e"
Info Session: BGC Funded Research Opportunities,2025-03-04,2:30pm,,https://calendar.ufl.edu/event/44650-info-session-bgc-funded-research-opportunities-,Turn your passion for public service into funded research. Learn how our Askew & Haskell Scholars Program can support your project with $2000 and expert mentorship. Sign up for the info session now.
Biology Seminar - Amy Webster,2025-03-04,3:30pm,,https://calendar.ufl.edu/event/44563-biology-seminar-amy-webster,"Title: Gene expression differences across genetically identical individuals predict reproductive traits
  Speaker: Amy Webster - FSU
  Date: March 4th, 2025
  Host: Charlie Baer
  Host Email: cbaer@ufl.edu
  
  Join Zoom Meeting
  
    https://ufl.zoom.us/j/99785980523
  Meeting ID: 997 8598 0523"
THE BLACK BIRTHING CRISIS: WHY UNDERSTANDING SLAVERY & GYNECOLOGY HELPS US ALL,2025-03-04,5:00pm,,https://calendar.ufl.edu/event/44605-the-black-birthing-crisis-why-understanding,Dr. Deirdre Cooper Owens will deliver a lecture.
[L] Florida Gators Baseball at UCF,2025-03-04,6:00pm,,https://calendar.ufl.edu/event/41189-florida-gators-baseball-at-ucf,
Song of Ascent,2025-03-04,7:00pm,,https://calendar.ufl.edu/event/44467-song-of-ascent,"Presented as part of the 14th Annual Gainesville Jewish Film Festival
  Singer song-writer Matisyahu confronts the anti-Israel storm in the US and elsewhere with a series of powerful sold-out performances in Israel."
THE BOOK OF MORMON,2025-03-04,7:30pm,,https://performingarts.ufl.edu/events/the-book-of-mormon-2/,"The New York Times calls it “the best musical of this century.” The Washington Post says, “It is the kind of evening that restores your faith in musicals.” Entertainment Weekly says, “Grade A: the funniest musical of all time.” And Jimmy Fallon of The Tonight Show calls it “Genius. Brilliant. Phenomenal.” It’s THE BOOK OF MORMON, the nine-time Tony Award®-winning Best Musical.


  This outrageous musical comedy follows the adventures of a mismatched pair of missionaries, sent halfway across the world to spread the Good Word. With standing room only productions in London, on Broadway, and across North America, THE BOOK OF MORMON has truly become an international sensation.


  For more information, visit TheBookOfMormonTour.com.


  Contains explicit language."
More events on 2025-03-04,2025-03-04,,,https://calendar.ufl.edu/#!view/day/date/20250304,Link to more events on this day
Emily Watts PhD Defense,2025-03-05,1:00pm,,https://calendar.ufl.edu/event/43842-emily-watts-phd-defense,
Creating Global Classrooms Through Virtual Exchange,2025-03-05,1:00pm,,https://calendar.ufl.edu/event/43571-creating-global-classrooms-through-virtual,"3/5/2025 | 1:55:00 PM - 2:55:00 PM
  Instructors: Ana Porras & Carrie Martins
  


  Dr. Ana Porras from the Department of Biomedical Engineering will share about her experiences implementing virtual exchange, and we will explore resources to turn your class into a global classroom. Register Here."
AI Chatbots,2025-03-05,1:30pm,,https://calendar.ufl.edu/event/44656-ai-chatbots,"This interactive workshop will delve deeper into the creation of chatbots for teaching and learning. Participants will recognize the potential of AI chatbots as a partner for student learning, generate ideas for how to integrate AI chatbots in their own courses and learning environments, and then create a simple chatbot using presets in NaviGator Chat. Presenters: Margeaux Johnson, Chris Sharp, Brian Schilling. 
  
  Register: https://forms.office.com/r/hKmmj4KWyd"
Gardens on the move/Le Jardin en mouvement,2025-03-05,2:00pm,,https://calendar.ufl.edu/event/44568-gardens-on-the-movele-jardin-en-mouvement,"As part of the France-Florida Research Institute’s series on Environmental Humanities, we invite you to join us for a roundtable discussion of Gardens on the Move/Le Jardin en mouvement."
"Page Unbound: Technology, Rethinking, and Claiming our Time",2025-03-05,4:00pm,,https://calendar.ufl.edu/event/43016-page-unbound-technology-rethinking-and-claiming,"Join Dr. Lyneise Williams, Associate Professor of Art History at the University of North Carolina at Chapel Hill, for an engaging exploration of how technology reshapes our perceptions of time, identity, and cultural narratives. 
          
          This event is part of the Center for the Humanities and the Public Sphere’s 2024-2025 Speaker Series, Page Unbound: Humanities in the Digital Age. Free food and refreshments included!"
CURBS Workshop: Pre-Health Research,2025-03-05,4:30pm,,https://calendar.ufl.edu/event/44308-curbs-workshop-pre-health-research,
Innovation Hour: The Innovation Carnival (networking event),2025-03-05,4:30pm,,https://calendar.ufl.edu/event/44315-innovation-hour-the-innovation-carnival-networking-eve,"Hey, entrepreneurs in North Central Florida!
  
  Step right up for an unforgettable evening of networking, classic carnival treats, games, and fun at Innovation Hour! Join fellow entrepreneurs, business leaders, and creative thinkers for a one-of-a-kind event where big ideas meet big top energy.
  
  Grab your ticket – you don’t want to miss out!
  
  This event is open to the public. Please register by noon on Tuesday, March 4th."
Sensing Climate Change - Sights and Sounds of Nature,2025-03-05,5:00pm,,https://calendar.ufl.edu/event/44646-sensing-climate-change-sights-and-sounds-of,
Light Up the Reitz,2025-03-05,6:00pm,,https://calendar.ufl.edu/event/44555-light-up-the-reitz,"Light Up the Reitz celebrates the Reitz Union’s new exterior LED lighting, marking its first official illumination. Attendees can enjoy a live band, free refreshments, and glowsticks while gathering on the North Lawn for the unveiling. Open to students, faculty, and staff, the event will feature designated spaces for food and an area for attendees to enjoy the experience."
