department,code,title,credits,description,prerequisites,grading_scheme
Animal Sciences,ANS3216,Introduction to Equine Science,3,"For those with an interest in equine sciences but with limited equine experience. Principles of equine selection, care, and utilization.",,
Animal Sciences,ANS3217C,Equine Health Management,2,"Principles and practices for planning, implementing, and maintaining equine herd health.",,
Animal Sciences,ANS3239L,Techniques in Equine Science,2,"Introduces the knowledge, horseback, and management skills required for proper daily horse care and conditioning. Designed for those seeking employment requiring basic horse care skills and for novice horse owners.",,
Animal Sciences,ANS3246L,Beef Production Practicum,2,"Participate in beef cattle production systems under close supervision of faculty and staff; gain knowledge of best management practices regarding cattle handling, tractor, and equipment use, as well as cattle hauling by participating in experiential learning opportunities.",,
Animal Sciences,ANS3250L,Dairy Cattle Practicum,2,"Practical application of the principles of biology and management of dairy cattle. Topics include milking procedures, behavior, cattle handling, records, and computer applications in dairy production; body condition, lameness and hygiene scoring; dairy farm evaluation; on-farm practica and field trips.",,
Animal Sciences,ANS3251,Biology and Management of Dairy Cattle,3,"Biology of dairy cattle and the interrelationship between biology and management. Topics include anatomy and physiology, nutrition, reproduction, genetics, behavior, diseases, dairy products, housing, management, economics, and the environmental impact of dairy production.",,
Animal Sciences,ANS3319C,Reproductive Physiology and Endocrinology in Domestic Animals,4,"Principles of reproduction in avian and mammalian farm animals including factors related to the estrous cycle, pregnancy, lactation, semen-production, artificial insemination, pregnancy diagnosis, and environmental factors affecting reproduction.",,
Animal Sciences,ANS3384C,Genetics of Domestic Animals,3,"Basic principles of Mendelian, population, and quantitative genetics as applied to improvement of domestic animals. Selection, inbreeding, and crossbreeding strategies for genetic improvement of livestock.",,
Animal Sciences,ANS3404C,Food Animal Nutrition and Feeding,4,"Studies the basic nutrient requirements of food animals, primarily beef cattle and swine, at specific stages of growth, production, and reproduction; and how scientific methods and experimentation are applied to animal nutrition.",,
Animal Sciences,ANS3405,Equine Nutrition and Feeding Management,2,"The influence of growth, reproduction, and work on the nutrient requirements of horses and the application of that information to the planning of life cycle feeding programs.",,
Animal Sciences,ANS3440,Principles of Animal Nutrition,4,"The nutrients required by animals, their functions interrelationships, and processes of utilization; feedstuff composition and their use in diet and ration formulation.",,
Animal Sciences,ANS3500L,Chicken Growth and Development,1,"Practical application of the principles of animal growth and development. Uses the chicken as a model to examine how a particular factor such as genetics, sex, nutrition, and more affect growth and development. Also explores broader implications for animals, producers, and consumers.",,
Animal Sciences,ANS3613C,Value determination of meat animals,3,"Principles and procedures involved in evaluation, grading, and economic value determination of meat animals and the carcasses they produce.",,
Animal Sciences,ANS3634C,Meats,3,"Integrated studies of the science and technology involved in the utilization of meat animals for food with focus on animal growth, carcass cutability, wholesomeness, palatability, and merchandising of red meat.",,
Animal Sciences,ANS3943C,Practicum: Weanling Behavior Modification,2,"This practicum examines equine behavioral modification methods that emphasize a balanced approach for developing an adaptable, responsive young weanling horse using reasonable, achievable training methods.",,
Animal Sciences,ANS4079C,Relationship of Form to Function in Horses,3,"Principles of conformation and performance evaluation of horses. Studies the anatomy, physiology, and dynamics of the horse as it affects athletic potential and performance.",,
Animal Sciences,ANS4212L,Techniques in Farrier Science,1-2,How to evaluate and to trim the horse's hoof and to develop a working knowledge of corrective farrier techniques.,,
Animal Sciences,ANS4218C,Horse Psychology and Training,2,"Horse behavior, instinct and senses as they relate to training. Principles of training the young foal; ground work, liberty training, and starting the young yearling under saddle; and principles of performance training.",,
Animal Sciences,ANS4231,Practicum in Horse Management and Training Technique,1,Practicum in horse management and training technique,,
Animal Sciences,ANS4234,Horse Enterprise Management,2,Management principles essential to the planning and operation of commercial horse enterprises.,,
Animal Sciences,ANS4240C,Discovery of Sustainable Cattle Systems,2,"Multidisciplinary experiential learning focused on development of sustainable practices through comprehension and critique of cattle production systems. Encompasses multiple aspects related to cattle systems, including agronomy, human and animal health and nutrition, sociology, and soil science. A key element is the hands-on learning experience where students select a project to carry out on one of the UF/IFAS beef or dairy units.",,
Animal Sciences,ANS4241C,Intermediate Horse Training,3,"Continue the training of a recently started under-saddled horse, exhibit horse to potential buyers, and produce annual performance horse sale.",,
Animal Sciences,ANS4243,Beef Cow-Calf Management,5,Development and implementation of management programs for commercial cow-calf and purebred beef cattle enterprises.,,
Animal Sciences,ANS4245,Beef Background and Feedlot Management,2,"Management, marketing, and utilization of beef cattle after weaning. Spring break field trip required.",,
Animal Sciences,ANS4318C,Equine Reproductive Management,3,"Equine reproduction to include anatomy, the estrous cycle, hormones and pharmacologic manipulation, gametogenesis, embryonic and fetal development, parturition, foal care, assisted technologies, and management strategies.",,
Animal Sciences,ANS4320C,Applied Livestock Reproduction,3,"Provides unique experiences in applied reproductive techniques and management of livestock with rotation through numerous animal teaching units reinforcing classroom curriculum in beef, dairy, equine, small ruminants, and porcine reproduction. Topics include estrus detection, synchronization, management, artificial insemination, ultrasonography, assisted reproductive technologies, semen collection and evaluation, sperm freezing, and embryo handling.",,
Animal Sciences,ANS4382,Equine Genetics,2,"Examines the underlying mechanisms and inheritance of a number of traits in the horse; includes the impact of domestication on the genome, relationships between breeds, coat color, genetic disease and complex traits of performance and behavior.",,
Animal Sciences,ANS4383,Genetic analyses of complex traits in livestock,3,"Comprehensive examination of principles of livestock inheritance, QTL mapping strategies and functional genomic approaches used for genomic selection and improvement programs in farm animals.",,
Animal Sciences,ANS4388,Canine and Feline Genetics,3,"Lectures, seminars, and lab exercises on application of genetic principles to canine and feline characteristics provide an in-depth understanding of how these traits are inherited and analyzed. Information on new genomic technologies and their impact on studying specific traits, including coat color and genetic disorders, are discussed.",,
Animal Sciences,ANS4389L,Molecular Techniques in Domestic Animal Genetics,2,Studies the principles of basic domestic animal molecular biology techniques and provides hands-on experience through laboratory exercises.,,
Animal Sciences,ANS4605,Animal and Products Evaluation,1,Intensive training in animal and animal products evaluation.,,
Animal Sciences,ANS4623C,Pork Production,3,"Principles of modern pork production, including all aspects of swine production management systems (breeding systems, disease control, applied economics, housing, marketing, pork quality, and nutrition in a systems approach), relative to the US/Global pork supply.",,
Animal Sciences,ANS4635C,Meat Processing,3,"Basic principles of the use of muscle as food, process technology, meat inspection, regulations, quality control procedures, and marketing aspects.",,
Animal Sciences,ANS4701,Physiology of the Mammary Gland and Lactation,2,"Insight into the endocrinology and physiology of the defining characteristics of mammals: the mammary gland and lactation, focusing on the anatomy and development of the mammary gland with an overview of the biochemical, cellular and molecular processes controlling lactation emphasizing on livestock species.",,
Animal Sciences,ANS4900,Supervised Extension Experience in Animal Sciences,0-3,"Firsthand, authentic extension experiences in animal sciences under the supervision of a faculty member. Projects may involve program planning, development, implementation, and evaluation.",,
Animal Sciences,ANS4905,Problems in Animal Science,1-3,Qualified students are assigned a problem involving care and management of livestock or the investigation of a current topic in animal science.,,
Animal Sciences,ANS4911,Supervised Research in Animal Sciences,0-3,"Firsthand, authentic research in animal sciences under the supervision of a faculty member. Projects may involve inquiry, design, investigation, scholarship, discovery or application.",,
Animal Sciences,ANS4915,Honors Thesis Research in Animal Sciences,0-3,"Independent research in animal sciences leading to an honors thesis, mentored by a faculty member. Projects may involve inquiry, design, investigation, scholarship, discovery or application. (S-U)",,
Animal Sciences,ANS4931,Senior Seminar,1,Oral presentation and papers on issues facing the livestock industry.,,
Animal Sciences,ANS4932,Special Topics in Animal Sciences,1-3,Special topics in Animal Sciences.,,
Animal Sciences,ANS4941,Full-Time Practical Work Experience in Animal Science,2-8,Credit is earned on the basis of one hour per month of employment.,,
Animal Sciences,ATE2511,Companion Animal Biology and Management,3,"Principles and practices of proper selection, care, nutrition, genetics, reproduction, and training of companion animals, with emphasis on dogs, cats, and selected bird species.",,
Animal Sciences,VME4103,Livestock Health/Disease Prevention,2,The principal diseases of livestock and practical methods for their prevention and control.,,
"Arabic | Languages, Literatures, and Cultures",ABT3130,Arabic Literary Heritage 1,3,"Surveys classical Arabic literature in translation. Covers pre-Islamic poetry and early Islamic poetry, Omayyad, Abbasid and Andalusian literatures. All readings are in English.",,
"Arabic | Languages, Literatures, and Cultures",ABT3500,Arabic Culture,3,"Introduction to Arabic culture with special reference to art, literature, religion, and society. Emphasizes Arab contributions to philosophy, medicine, mathematics, and architecture. All readings in English.",,
"Arabic | Languages, Literatures, and Cultures",ABT4131,The Qur'an as Literature,3,"Approaches the Qur'an from a literary standpoint by examining its history, structure, style, major themes, and impact on Arabic literature, Islamic thought, and Muslim culture.",,
"Arabic | Languages, Literatures, and Cultures",ARA1130,Beginning Arabic 1,5,"Beginning study covering four skills: listening, speaking, reading, and writing.",,
"Arabic | Languages, Literatures, and Cultures",ARA1131,Beginning Arabic 2,5,Continued study of the four skills with additional vocabulary and grammar.,,
"Arabic | Languages, Literatures, and Cultures",ARA2220,Intermediate Arabic 1,4,"Continuation of the study of standard Arabic language. Develops reading, writing, listening and speaking skills and helps with comprehension of written and audio texts. Students can use their knowledge of the Arabic language to clearly express their personal views in a meaningful and well-structured language.",,
"Arabic | Languages, Literatures, and Cultures",ARA2221,Intermediate Arabic 2,4,"Continues the study of Arabic language at the intermediate level. Emphasizes developing reading comprehension, writing, listening and speaking, and vocabulary and grammar.",,
"Arabic | Languages, Literatures, and Cultures",ARA3241,Spoken Arabic,3,Develops listening and conversational skills at an intermediate level of proficiency. Focuses on a middle variety of Arabic known as Educated Spoken Arabic that enables successful communication with educated Arab speakers from virtually any country in the Arab world.,,
"Arabic | Languages, Literatures, and Cultures",ARA3410,Advanced Arabic 1,3,Advanced study of the four skills with attention to more complex structures.,,
"Arabic | Languages, Literatures, and Cultures",ARA3411,Advanced Arabic 2,3,Continuation of advanced study.,,
"Arabic | Languages, Literatures, and Cultures",ARA3510,The Arab Woman,3,Examines the role and status of Arab women in their respective societies; specifically examines the internal dynamic of Arab culture that influences the role of the Arab woman.,,
"Arabic | Languages, Literatures, and Cultures",ARA4400,Fourth Year Arabic 1,3,"Development to an advanced level of speaking, hearing, reading and writing of spoken and mass communication and literary Arabic.",,
"Arabic | Languages, Literatures, and Cultures",ARA4401,Fourth Year Arabic 2,3,"Continuation of ARA 4400. Development of a more advanced level of speaking, hearing, reading and writing of spoken and mass communication and literary Arabic.",,
"Arabic | Languages, Literatures, and Cultures",ARA4420,Arabic through the Texts,3,"For advanced students of Arabic. Teaches the more complex grammar, idiomatic expressions and sophisticated stylistic forms of the language. Required for the Arabic minor.",,
"Arabic | Languages, Literatures, and Cultures",ARA4822,Arabic Sociolinguistics,3,"Focus on the relationship between language and society in the Arab world. An examination of the different varieties of Arabic and the relation between linguistic variation and other social variables, such as ethnicity, religion, urbanization, social class, gender, power and ideology.",,
"Arabic | Languages, Literatures, and Cultures",ARA4850,Structure of Standard Arabic,3,"Describes and analyzes the sound system, word structure, and sentence structure of Arabic.",,
"Arabic | Languages, Literatures, and Cultures",ARA4905,Individual Study,1-5,For those who seek independent work not offered in another course.,,
"Arabic | Languages, Literatures, and Cultures",ARA4930,Special Topics,3,"One of the core courses in the Middle Eastern languages and cultures major offered through interdisciplinary studies. Also useful for linguistics, religion, Arabic, Hebrew, and Jewish studies.",,
"Arabic | Languages, Literatures, and Cultures",ARA4956,Overseas Studies 1,1-15,Provides a mechanism by which coursework taken as part of an approved study abroad program can be recorded on the UF transcript and counted toward graduation.,,
Architecture,ARC1000,Architecture and Humanity,3,"Introduces the issues and opportunities derived through actively engaging the sustainable and ethical design of the environments in which people live: urban, landscape, and architectural.",,
Architecture,ARC1002C,Introduction to Architecture,3,"An introduction to the principles of architectural design. The course includes project-based exercises, lectures, and discussions.",,
Architecture,ARC1101,Places and Spaces,3,"Examines the way humankind has shaped its world while framing particular relationships with nature and asks: what does it mean to make a mark upon the land? What does it mean to dwell, and what do the inhabited places mean to people?",,
Architecture,ARC1301,Architectural Design 1,4,Introduces interfacing communication skills with design thinking. Emphasizes awareness and understanding of basic organization ideas in design.,,
Architecture,ARC1302,Architectural Design 2,4,An analysis course that uses the study of architectural precedent as a foundation for the development of communication and design skills.,,
Architecture,ARC1701,Architectural History 1,3,"General survey of social, political, and cultural factors that have generated art and architecture. (H and N) (WR)",,
Architecture,ARC1702,Architectural History 2,3,"A survey of the history of architecture from 1400 to 1850. Lectures examine the effects of social, political, material, technological and cultural forces on the design and construction of the built environment and explore the role of the architect in civil society. Emphasizes the theoretical positions of the architects and architectural schools. (H and N)",,
Architecture,ARC1720,Survey of Architecture History,3,A survey of monumental buildings and their embodied architectural intentions from the pre-historical ages to the current age. Demonstrating interactive relationships between form and idea in architecture throughout history across cultural and regional differences. (H and N) (WR),,
Architecture,ARC2180,Introduction to Digital Architecture,3,Introduces computer-aided design programs currently utilized by professional practices.,,
Architecture,ARC2201,Theory of Architecture 1,3,Critical study of the processes that influence the form and image of architecture with an emphasis on an understanding of ordering principles and concepts of how space and architecture systems are interrelated. (H),,
Architecture,ARC2303,Architectural Design 3,5,Studio course explores the influence of history and culture on design decision-making.,,
Architecture,ARC2304,Architectural Design 4,5,Explores context as a generator of architectural design ideas. Contemporary cultural influences also are examined and incorporated in the design process.,,
Architecture,ARC2461,Materials and Methods of Construction 1,3,The nature of materials used in construction. Criteria for evaluation and selection related to design decision-making.,,
Architecture,ARC2490C,Intro to Building Technologies,3,First course in a sequence that addresses the relationship between building technologies and design thinking by introducing fundamental concepts of materials and methods relative to building design and construction. Also offers digital design modules that develop problem-solving and representational skills.,,
Architecture,ARC2491C,Integrated Building Tech 1,3,"As the second course in a multi-year integrated building technology sequence, there will be an emphasis on further developing components of materials and methods, digital design and on the introduction of environmental design that will increase the student’s understanding of the impact of context and building technologies on design decisions.",,
Architecture,ARC3181,Advanced Topics in Digital Architecture,3,Continued investigation of computer-aided design programs currently utilized by professional practices.,,
Architecture,ARC3291,Special Studies in Architecture,1-6,Special studies in architecture adjusted to individual needs of undergraduate students.,,
Architecture,ARC3320,Architectural Design 5,6,Investigates architectural design and its relationship to regional contextual influences through a range of projects which vary in scale and complexity.,,
Architecture,ARC3321,Architectural Design 6,6,"Architectural design within a large scale urban context. Theory, methodology and evolution of urban form in response to social, cultural, economic and technological forces.",,
Architecture,ARC3463,Materials and Methods of Construction 2,3,Methods of assembling and selecting materials; detailed systems of construction are investigated.,,
Architecture,ARC3492C,Integrated Building Tech 2,6,"As the third course in a multi-year integrated building technology sequence, there will be an emphasis on further developing components of environmental design, materials and methods, and building structures, in addition to a digital design module that will concurrently develop student abilities to problem solve and represent ideas.",,
Architecture,ARC3493C,Integrated Building Tech 3,6,"As the fourth course in a multi-year integrated building technology sequence, there will be an emphasis on further developing components of environmental design, materials and methods, and digital design skills that will allow students to apply their knowledge to mid-rise buildings of increasing complexity.",,
Architecture,ARC3503,Introduction to Architectural Structures,3,"A foundation course that investigates principles of structural behavior in withstanding gravity and lateral forces; consider structural layout, load distribution and preliminary design techniques; and examines contemporary structural systems through case studies emphasizing trussed, framed, funicular and shell structural systems.",,
Architecture,ARC3610,Environmental Technology 1,3,Principles and practices relating to control of the thermal/atmospheric environment and to plumbing in buildings.,,
Architecture,ARC3743,Architectural History 3,3,"A survey of the history of architecture from 1850 to present. Lectures examine the effects of social, political, material, technological and cultural forces on the design and construction of the built environment and explore the role of the architect in civil society. Emphasizes the theoretical positions of the architects and architectural schools.",,
Architecture,ARC3880,Sustainable Architecture,3,How environmentalism informs architectural discourses and how discourses on the built environment and urbanism impact environmentalism globally.,,
Architecture,ARC4071,Core Studio 1,6,"Introduces a variety of design techniques, including design theory, three-dimensional development, and spatial relationships.",,
Architecture,ARC4072,Core Studio 2,6,Continuation of core studio sequence with increased emphasis on manipulation of architectural elements.,,
Architecture,ARC4073,Core Studio 3,6,"Continuation of core studio sequence with studio projects related to program development, structural integration, energy analysis and introduction to mechanical integration systems.",,
Architecture,ARC4074,Core Studio 4,6,Continuation of core studio sequence with increased emphasis on complex building types.,,
Architecture,ARC4220,Architectural Theory 2,3,"Investigates the theoretical, historical and ideological ideas in architecture that took place during the early decades of the twentieth century.",,
Architecture,ARC4310C,Building Information Modeling,3,Emerging technology in building information modeling (BIM) in the context of architectural design development and documentation. Theoretical and technological evolution of different typologies of software with hands-on experience designing and modeling with BIM software.,,
Architecture,ARC4322,Architectural Design 7,6,Emphasizes the notion of control over architectural design processes needed to arrive at solutions that respond to needs through appropriate use of program development and construction technology. Course emphasizes the complete building as a final product and focuses on the urban and suburban housing project.,,
Architecture,ARC4323,Architectural Design 8,6,Architecture designs focus on architectural detail and articulation. An investigation of landscape provides the context for this study.,,
Architecture,ARC4494C,Integrated Building Tech 4,3,"Emphasizes the development of structures, materials, and methods, and environmental design skills that apply to high-rise, long-span, and large-scale building design. Provides focus to both the technical knowledge of macro-scale design-drivers and the detail implications of structure, environmental performance, and building assemblies.",,
Architecture,ARC4511,Structural Modeling,3,"Introduces the fundamentals of structural modeling including building information modeling (BIM), digital design, and approximate systems analysis and detailing for architectural structures. Students will learn how to efficiently implement building information modeling to organize, coordinate and communicate information to convey data necessary for structural systems.",,
Architecture,ARC4620,Environmental Technology 2,3,"Fundamentals of architectural lighting, acoustics, electrical power distribution and building communications.",,
